raceId,driverId,constructorId,grid,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
926,831,15,10,5,10.0,58,0 days 01:33:29.216000,5609216.0,46.0,9.0,0 days 00:01:32.612000,206.137,1
926,817,9,6,6,8.0,57,0 days 00:00:00,0.0,46.0,10.0,0 days 00:01:32.797000,205.726,11
926,807,10,13,7,6.0,57,0 days 00:00:00,0.0,48.0,8.0,0 days 00:01:31.970000,207.576,11
926,828,15,15,8,4.0,57,0 days 00:00:00,0.0,51.0,5.0,0 days 00:01:31.560000,208.505,11
926,832,5,7,9,2.0,57,0 days 00:00:00,0.0,49.0,11.0,0 days 00:01:32.872000,205.56,11
926,815,10,14,10,1.0,57,0 days 00:00:00,0.0,46.0,7.0,0 days 00:01:31.959000,207.601,11
926,18,1,16,11,0.0,56,0 days 00:00:00,0.0,56.0,12.0,0 days 00:01:33.338000,204.534,12
926,8,6,5,12,0.0,40,0 days 00:00:00,0.0,36.0,3.0,0 days 00:01:31.426000,208.811,36
926,830,5,11,13,0.0,32,0 days 00:00:00,0.0,30.0,13.0,0 days 00:01:34.295000,202.458,5
926,154,208,8,14,0.0,0,0 days 00:00:00,0.0,0.0,0.0,0 days 00:00:00,196.20333333333332,75
926,813,208,9,15,0.0,0,0 days 00:00:00,0.0,0.0,0.0,0 days 00:00:00,188.00087162162163,3
926,826,9,12,16,0.0,0,0 days 00:00:00,0.0,0.0,0.0,0 days 00:00:00,192.86299999999997,54
926,825,1,17,17,0.0,0,0 days 00:00:00,0.0,0.0,0.0,0 days 00:00:00,192.86299999999997,54
926,822,3,0,18,0.0,0,0 days 00:00:00,0.0,0.0,0.0,0 days 00:00:00,192.86299999999997,54
927,20,6,2,1,25.0,56,0 days 01:41:05.793000,6065793.0,46.0,3.0,0 days 00:01:43.648000,193.501,1
927,1,131,1,2,18.0,56,0 days 01:41:14.362000,6074362.0,45.0,2.0,0 days 00:01:43.125000,193.501,1
927,3,131,3,3,15.0,56,0 days 01:41:18.103000,6078103.0,43.0,1.0,0 days 00:01:42.062000,195.516,1
927,8,6,11,4,12.0,56,0 days 01:41:59.615000,6119615.0,40.0,7.0,0 days 00:01:44.124000,191.644,1
927,822,3,8,5,10.0,56,0 days 01:42:16.202000,6136202.0,42.0,6.0,0 days 00:01:44.088000,191.71,1
927,13,3,7,6,8.0,56,0 days 01:42:19.379000,6139379.0,40.0,5.0,0 days 00:01:43.990000,191.891,1
927,830,5,6,7,6.0,56,0 days 01:42:43.555000,6163555.0,42.0,9.0,0 days 00:01:44.579000,190.81,1
927,832,5,15,8,4.0,55,0 days 00:00:00,0.0,37.0,15.0,0 days 00:01:45.507000,189.132,11
927,826,9,5,9,2.0,55,0 days 00:00:00,0.0,41.0,8.0,0 days 00:01:44.514000,190.929,11
927,817,9,4,10,1.0,55,0 days 00:00:00,0.0,42.0,13.0,0 days 00:01:45.312000,189.482,11
